"site","url","nonobs","short_url"
"vesti.ru","http://vesti.ru/doc.html?id=3025496&cid=7","Ненадійне джерело інформації","http://bit.ly/2yI3MW1"
"gazeta.ua","http://gazeta.ua/articles/politics/_sencov-zaklikaye-ukrayinciv-pripiniti-goloduvannya-i-pochati-diyati/840998","Ненадійне джерело інформації","http://bit.ly/2PEx2V2"
"vesti-ukr.com","http://vesti-ukr.com/politika/291474-daniljuk-stanet-kozlom-otpushchenija-chem-obernetsja-uvolnenie-ministra-finansov","Ненадійне джерело інформації","http://bit.ly/2yEp3A2"
"kp.ru","http://kp.ru/daily/26839.3/3879955/","Недостовірна новина","http://bit.ly/2yLNuMa"
"kp.ru","http://kp.ru/daily/26839.3/3879958/","Ненадійне джерело інформації","http://bit.ly/2PDeBjA"
"comments.ua","http://comments.ua/politics/623346-v-zhitomirskoy-gfs-nazvali-utkoy.html","Ненадійне джерело інформації","http://bit.ly/2yIR4X7"
"kp.ru","http://kp.ru/daily/26839.3/3879957/","Недостовірна новина","http://bit.ly/2yHZNc6"
"kp.ru","http://kp.ru/daily/26838/3880001/","Ненадійне джерело інформації","http://bit.ly/2yIPiW3"
"kp.ru","http://kp.ru/daily/26839.3/3879973/","Недостовірна новина","http://bit.ly/2yHZNZE"
"expres.ua","http://expres.ua/news/2018/06/07/297279-pomerla-vidoma-odeska-volonterka","Ненадійне джерело інформації","http://bit.ly/2yHzlzy"
"kp.ru","http://kp.ru/daily/26839.3/3879858/","Ненадійне джерело інформації","http://bit.ly/2yJx1If"
"unn.com.ua","http://unn.com.ua/uk/news/1734716-kilkist-zhertv-viverzhennya-vulkana-v-gvatemali-zrosla-do-84-osib","Ненадійне джерело інформації","http://bit.ly/2yHZNJ8"
"vesti.ru","http://vesti.ru/doc.html?id=3025642&cid=9","Недостовірна новина","http://bit.ly/2PC5y2n"
"obozrevatel.com","https://www.obozrevatel.com/health/digest/izbili-vracha-i-zastavili-izvinyatsya-na-dnepropetrovschine-neizvestnyie-razgromili-bolnitsu.htm","Ненадійне джерело інформації","http://bit.ly/2yHsW7i"
"apostrophe.ua","https://apostrophe.ua/news/society/accidents/2018-06-07/psevdokiborg-v-seti-pokazali-foto-aferista-v-kieve-vyidayuschego-sebya-za-uchastnika-voynyi-na-donbasse/132361","Ненадійне джерело інформації","http://bit.ly/2yHnAZL"
"apostrophe.ua","https://apostrophe.ua/news/society/2018-06-07/takogo-kino-bolshe-ne-budet-v-mire-volna-skorbi-po-povodu-smerti-kiryi-muratovoy/132363","Ненадійне джерело інформації","http://bit.ly/2yFEEzm"
"apostrophe.ua","https://apostrophe.ua/news/politics/government/2018-06-07/reshenie-uje-prinyato-smi-uznali-kto-stanet-novyim-glavarem-dnr/132369","Недостовірна новина","http://bit.ly/2yFEFmU"
"enovosty.com","http://news.enovosty.com/news_economy/full/706-otnositelno-sostoyaniya-shaxt-v-ordlo-i-vyvoza-uglya-v-rossiyu-za-bescenok-dmitrij-tymchuk","Ненадійне джерело інформації","http://bit.ly/2yJYxFp"
"vesti.ru","http://www.vestifinance.ru/articles/102445","Ненадійне джерело інформації","http://bit.ly/2PDLfSj"
"enovosty.com","http://news.enovosty.com/news_politics/full/706-associiruetsya-s-vojnoj-fifa-zapretila-rossijskoj-pevice-vystupat-na-chm-2018","Ненадійне джерело інформації","http://bit.ly/2yLKxeb"
"censor.net","https://censor.net.ua/news/3070213/na_predpriyatiyah_ugolnoyi_promyshlennosti_podkontrolnyh_dnr_slojilas_kriticheskaya_situatsiya_tymchuk","Ненадійне джерело інформації","http://bit.ly/2yFEEiQ"
"obozrevatel.com","https://www.obozrevatel.com/economics/otstavka-danilyuka-ukraintsyi-predlozhili-chto-delat-s-ministrom.htm","Ненадійне джерело інформації","http://bit.ly/2PDLhJV"
"obozrevatel.com","https://www.obozrevatel.com/politics/lyashko-ukraintsyi-ne-veryat-v-antikorruptsionnyij-sud.htm","Ненадійне джерело інформації","http://bit.ly/2PDLehd"
"comments.ua","http://comments.ua/world/623412-london-shestoy-raz-otkazal-ukraine.html","Недостовірна новина","http://bit.ly/2PDLi0r"
"lenta.ru","http://lenta.ru/news/2018/06/07/gazzaev_gav/","Ненадійне джерело інформації","http://bit.ly/2RNE3V7"
"kp.ru","http://kp.ru/daily/26839.3/3879468/","Недостовірна новина","http://bit.ly/2yIeqwa"
"kp.ru","http://kp.ru/daily/26839/3880269/","Недостовірна новина","http://bit.ly/2yIR6OJ"
"fakty.ictv.ua","https://fakty.ictv.ua/ua/proisshestvija/20180607-u-kyyevi-shmatok-betonu-vpav-iz-mosta-na-renault-pasazhyru-majzhe-vidirvalo-ruku/","Ненадійне джерело інформації","http://bit.ly/2yGZyhp"
"vesti-ukr.com","http://vesti-ukr.com/kiev/291589-v-kieve-s-mosta-na-avtomobil-upal-kusok-betona-prakticheski-otorvav-passazhiru-ruku","Ненадійне джерело інформації","http://bit.ly/2yFENmo"
"facenews.ua","http://facenews.ua/news/2018/409336/","Недостовірна новина","http://bit.ly/2yGZxKn"
"obozrevatel.com","https://www.obozrevatel.com/society/konets-sveta-2018-otvet-kart-taro.htm","Недостовірна новина","http://bit.ly/2PEx2o0"
"ukranews.com","http://ukranews.com/news/567461-cel-blagotvorytelnogo-aukcyona-ynter-detyam-dostygnuta-y-tut-zhe-zayavlena-novaya","Недостовірна новина","http://bit.ly/2yFEOqs"
"kp.ru","http://kp.ru/daily/26839/3880299/","Ненадійне джерело інформації","http://bit.ly/2yFEOGY"
"hronika.info","http://hronika.info/avto/323742-panasonic-nashla-sposob-udeshevleniya-elektrokarov.html","Ненадійне джерело інформації","http://bit.ly/2yFENTq"
"strana.ua","http://strana.ua/news/145305-rada-naznachila-auditora-nabu-po-svoej-kvote.html","Ненадійне джерело інформації","http://bit.ly/2yGZCOb"
"gazeta.ua","http://gazeta.ua/articles/world-life/_tretya-svitova-movnij-zakon-latviyi-i-zamah-na-skripalya-putin-proviv-paraleli/841162","Ненадійне джерело інформації","http://bit.ly/2yGZCxF"
"zn.ua","http://zn.ua/SPORT/lomachenko-vstretilsya-so-stallone-286066_.html","Ненадійне джерело інформації","http://bit.ly/2yGZEph"
"facenews.ua","http://facenews.ua/news/2018/409339/","Ненадійне джерело інформації","http://bit.ly/2yFEUOQ"
"fakty.ictv.ua","https://fakty.ictv.ua/ua/svit/20180607-stane-kintsem-tsyvilizatsiyi-zayava-putina-pro-tretyu-svitovu-vijnu/","Недостовірна новина","http://bit.ly/2yFETKM"
"hronika.info","http://hronika.info/kriminal/323749-v-kieve-s-mosta-na-avto-upala-betonnaya-plita.html","Ненадійне джерело інформації","http://bit.ly/2RWRrWK"
"znaj.ua","http://znaj.ua/society/shmatok-vtomlenogo-mostu-prodiryavyv-avto-u-kyyevi","Ненадійне джерело інформації","http://bit.ly/2yFEVCo"
"ukranews.com","http://ukranews.com/news/567488-yulyya-levochkyna-uchastye-zhenshhyn-polytykov-v-uregulyrovanyy-konflyktov-sposobstvuet-stabylnomu","Ненадійне джерело інформації","http://bit.ly/2yGZDSf"
"unian.net","https://www.unian.net/war/10144793-reshenie-uzhe-prinyato-smi-nazvali-imya-novogo-glavarya-dnr.html","Ненадійне джерело інформації","http://bit.ly/2yFEU1i"
"lenta.ru","http://lenta.ru/news/2018/06/07/lion/","Ненадійне джерело інформації","http://bit.ly/2yGZBK7"
"znaj.ua","http://znaj.ua/politics/novi-protokoly-dopytu-gennadiya-afanasyeva-oleg-sencov-spalyv-budynok-petra-symonenka-i-otrymav-groshi-vid-anatoliya-grycenka","Ненадійне джерело інформації","http://bit.ly/2yGZK07"
"hronika.info","http://hronika.info/medicina/323771-poleznye-dlya-zdorovya-napitki-utolyayuschie-zhazhdu.html","Недостовірна новина","http://bit.ly/2yFEYy4"
"politeka.net","https://politeka.net/news/politics/664426-novye-protokoly-doprosa-gennadija-afanaseva-oleg-sencov-szheg-dom-petra-simonenko-i-poluchil-dengi-ot-anatolija-gricenko/","Ненадійне джерело інформації","http://bit.ly/2PDLpZV"
"zik.ua","http://zik.ua/news/2018/06/07/danylyuk_nikoly_ne_buv_ukrainskoyu_lyudynoyu__nina_yuzhanina_1340805","Ненадійне джерело інформації","http://bit.ly/2yGZIp1"
"expres.ua","http://expres.ua/news/2018/06/07/297337-lyudy-vidvely-policiyu-misce-smerti-aktyvista-bychka","Ненадійне джерело інформації","http://bit.ly/2yGZVbN"
"tsn.ua","https://tsn.ua/ukrayina/podorozhi-1167792.html","Недостовірна новина","http://bit.ly/2yGarjH"
